PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,1.12,27.252,34.874,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,2.04,27.256,34.871,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,3,27.258,34.873,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,4,27.26,34.872,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,5,27.263,34.874,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,6,27.271,34.886,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,7.04,27.28,34.896,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,8.04,27.301,34.936,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,8.96,27.31,34.967,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,9.96,27.313,34.985,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,12,27.33,35.17,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,14.04,27.223,35.259,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,16.04,27.067,35.271,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,18.04,26.368,35.239,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,19.96,24.511,35.216,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,22.04,23.307,35.23,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,24.04,22.804,35.249,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,26,22.637,35.249,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,27.96,22.505,35.246,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,30,22.235,35.244,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,32,22.081,35.24,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,33.96,21.843,35.233,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,35.92,21.717,35.235,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,37.96,21.461,35.233,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,39.96,21.151,35.232,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901231,n/a,2016-03-12T10:31:44Z,-4.9929,-83.0101,41.96,20.902,35.231,00111111,6482_007334_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
