PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,1,24.155,34.63,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,2,24.111,34.631,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,3.04,24.111,34.629,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,4.04,24.1,34.627,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,5.08,24.1,34.625,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,6.04,24.089,34.622,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,7,23.968,34.627,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,8,23.737,34.639,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,9,23.638,34.642,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901057,n/a,2015-02-10T07:11:02Z,-1.3266,-84.0169,10.04,23.682,34.63,00111111,5507,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
