PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,1.12,28.819,34.932,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,2,28.821,34.955,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,3,28.795,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,3.96,28.76,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,5,28.744,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,6.08,28.724,34.953,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,7.04,28.717,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,8.04,28.709,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,9.04,28.699,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,10,28.696,34.961,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,12.04,28.685,34.962,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,14,28.682,34.962,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901234,n/a,2016-03-13T16:45:54Z,-3.0037,-85.0068,15.96,28.676,34.962,00111111,6713_007337_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
