PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,1.16,29.3,35.109,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,2.04,29.286,35.108,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,3,29.218,35.109,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,3.96,29.172,35.108,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,5,29.113,35.109,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,6.04,29.045,35.109,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,7,29.019,35.109,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,7.96,28.991,35.108,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,9,28.938,35.11,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,10,28.883,35.109,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,12.04,28.861,35.108,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,14.12,28.852,35.112,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,16,28.807,35.132,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,18,28.333,35.296,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,20,28.027,35.328,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,21.96,27.887,35.324,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,23.96,27.386,35.316,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,25.96,26.537,35.283,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,27.96,24.985,35.267,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,29.96,24.035,35.252,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,31.96,23.135,35.227,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,33.96,22.963,35.221,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,36,22.758,35.22,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,38,22.607,35.22,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,39.96,22.445,35.223,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,42.04,22.205,35.225,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901267,n/a,2016-03-16T19:43:30Z,-4.0058,-85.0151,44.04,22.024,35.221,00111111,6568,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
