PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1410,3.275,34.601,34.602,3.275,1409.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1412,3.255,34.602,34.602,3.255,1411.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1414,3.25,34.602,34.602,3.25,1413.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1416,3.247,34.603,34.603,3.247,1415.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1418,3.244,34.603,34.603,3.244,1417.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1420,3.243,34.603,34.603,3.243,1419.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1422,3.241,34.603,34.603,3.241,1421.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1424,3.24,34.602,34.602,3.24,1423.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1426,3.237,34.602,34.602,3.237,1425.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1428,3.23,34.602,34.602,3.23,1427.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1430,3.221,34.602,34.602,3.221,1429.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1432,3.216,34.603,34.603,3.216,1431.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1434,3.213,34.603,34.603,3.213,1433.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1436,3.211,34.603,34.603,3.211,1435.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1438,3.206,34.603,34.603,3.206,1437.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1440,3.202,34.603,34.603,3.202,1439.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1442,3.202,34.603,34.603,3.202,1441.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
