PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,0.68,28.776,35.014,00111111,6567,PRES,none,PRES,Near-surface sampling: discrete, pumped [shallowest polling from the same SBE41CP],99999,2
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,1.12,28.776,35.031,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,1.96,28.776,35.028,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,2.96,28.773,35.034,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,4.04,28.775,35.034,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,5.08,28.776,35.023,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,6.08,28.776,35.032,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,7,28.775,35.032,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,7.92,28.759,35.027,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,9,28.72,35.027,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,10.04,28.687,35.027,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,12,28.609,35.024,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,13.96,28.522,35.02,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,16.04,28.399,35.012,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,18.08,28.229,35.009,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,20,27.849,35.037,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,22,27.437,35.06,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,24.04,27.169,35.078,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,26.04,27.132,35.078,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,27.96,26.997,35.084,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,29.92,26.162,35.091,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,31.96,25.58,35.068,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901266,n/a,2016-03-16T06:11:09Z,-1.9733,-85.0493,34,25.03,35.057,00111111,6567,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
