PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,1.12,26.59,33.697,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,1.96,26.59,33.697,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,3,26.564,33.697,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,4.04,26.382,33.709,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,5,26.2,33.733,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,6,26.2,33.725,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,7,26.096,33.737,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,8,25.862,33.773,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,9,25.654,33.813,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,10,25.42,33.857,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,12,25.03,33.933,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,14.08,24.406,34.041,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,15.96,23.496,34.173,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,18,20.246,34.653,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,20,18.4,34.921,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,22,17.88,35.001,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,24,17.75,35.005,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,25.96,17.646,35.001,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,27.96,17.568,35.009,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,30,17.464,35.021,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,32,17.412,35.029,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,34.04,17.308,35.029,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,36,17.178,35.021,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,37.96,17.1,35.021,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,40,17.022,35.013,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,41.96,16.913,35.003,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,44,16.646,34.993,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
3901055,n/a,2015-02-19T02:53:55Z,-0.0196,-82.8149,46,16.55,34.998,00111111,5505,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],3,1
