PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,1533.28,2.907,34.598,00111111,4459,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],5,2
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,1980.88,2.294,34.636,00111111,4459,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],5,2
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,1.16,23.127,35.34,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,1.96,23.127,35.34,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,2.96,23.133,35.34,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,4.04,23.139,35.339,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,5,23.145,35.339,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,5.96,23.145,35.339,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,6.96,23.145,35.339,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,8,23.139,35.34,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,9,23.133,35.34,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
3900837,n/a,2015-02-01T00:31:39Z,-7.8891,-83.7963,10,23.139,35.34,00111111,4459,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],5,1
