PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,0.76,28.25,35.236,00111111,6711_007335_000,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],0,2
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,87.2,16,34.515,00111111,6711_007335_000,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],0,2
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,1.16,28.243,35.237,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,2.04,28.234,35.234,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,2.96,28.206,35.245,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,3.96,28.153,35.248,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,5.04,28.107,35.247,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,6,28.075,35.236,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,6.96,28.065,35.235,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,8,28.057,35.237,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,9.04,28.053,35.233,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901232,n/a,2016-03-12T17:21:02Z,-4.9984,-84.0103,9.96,28.048,35.232,00111111,6711_007335_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
