PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,PARAMETER,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,GTSPP_UNIQUE_PROFILE_ID
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,83,14.487,34.999,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,88,14.429,34.996,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,93,14.323,34.992,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,98,14.288,34.99,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,103,14.215,34.988,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,108,14.14,34.983,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,113,14.078,34.983,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,118,13.988,34.978,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,123,13.885,34.975,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
6901504,121628,2015-02-10T21:26:00Z,-8.6020,-81.4660,128,13.851,34.973,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 2000 dbar to 300 dbar; 10 sec sampling, 5 dbar average from 300 dbar to 10 dbar; 10 sec sampling, 5 dbar average from 10 dbar to 5.5 dbar],2,1,
