PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,38,23.552,35.259,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,40,23.369,35.244,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,42.04,23.134,35.235,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,44,22.934,35.229,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,45.96,22.386,35.24,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,48,21.901,35.223,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,49.96,21.546,35.221,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,52,21.215,35.24,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,54,20.943,35.271,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,56,20.764,35.265,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,58,20.472,35.258,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,60.04,20.001,35.313,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,62,19.512,35.3,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,63.96,18.844,35.263,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,66,18.233,35.215,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,68,17.825,35.177,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,69.96,17.692,35.205,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,71.96,17.301,35.185,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,74,17.037,35.147,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,76,16.91,35.136,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,78,16.74,35.125,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,80,16.608,35.129,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,82,16.554,35.132,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,84,16.533,35.131,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,86,16.471,35.125,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,88,16.343,35.114,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,90,16.181,35.11,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,92.04,15.809,35.087,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,93.84,15.678,35.083,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,0.64,28.387,35.257,00111111,6712_007336_001,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],1,2
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,982.72,4.444,34.568,00111111,6712_007336_001,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],1,2
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,1.08,28.392,35.255,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,2,28.396,35.255,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
