PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,840.39,5.2829,34.5376,34.5376,5.2829,840.26,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,850.7,5.2395,34.5378,34.5378,5.2395,850.57,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,859.9,5.1945,34.5379,34.5379,5.1945,859.77,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,870.02,5.1414,34.5377,34.5377,5.1414,869.89,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,879.9,5.0753,34.5376,34.5376,5.0753,879.77,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,890.7,5.0366,34.5378,34.5378,5.0366,890.57,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,900.27,4.9893,34.5377,34.5377,4.9893,900.14,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,909.93,4.9298,34.5387,34.5387,4.9298,909.8,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,920.35,4.8954,34.5366,34.5366,4.8954,920.22,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,929.84,4.8257,34.5369,34.5369,4.8257,929.71,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,940.5,4.7769,34.5379,34.5379,4.7769,940.37,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,950.33,4.7398,34.5375,34.5375,4.7398,950.2,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,960.28,4.6598,34.5376,34.5376,4.6598,960.15,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,970.58,4.6262,34.5372,34.5372,4.6262,970.45,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,974.58,4.6182,34.5393,34.5393,4.6182,974.45,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,987.83,4.5428,34.5392,34.5392,4.5428,987.7,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,998.32,4.5054,34.5411,34.5411,4.5054,998.19,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1008.49,4.4595,34.5419,34.5419,4.4595,1008.36,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1017.64,4.446,34.542,34.542,4.446,1017.51,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1028.29,4.3703,34.5406,34.5406,4.3703,1028.16,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
