PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,1.16,27.967,35.001,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,2,27.932,34.981,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,3,27.829,34.975,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,3.96,27.719,34.979,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,5,27.367,34.976,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,6.04,26.937,34.954,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,7.04,26.828,34.946,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,8,26.553,34.92,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,9,26.175,34.894,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
3901260,n/a,2016-03-14T08:19:41Z,-0.9613,-85.0273,10,25.711,34.859,00111111,6561,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2],99999,1
