PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,24.04,24.117,34.902,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,26,23.481,34.933,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,27.92,22.575,35.178,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,29.96,20.819,35.169,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,32,20.545,35.145,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,34.04,20.509,35.121,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,36,20.455,35.117,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,37.92,20.399,35.098,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,39.96,20.362,35.097,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,42,20.1,35.082,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,43.96,19.615,35.057,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,46.04,19.068,35.1,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,48.08,18.825,35.133,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,49.96,18.712,35.147,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,51.92,18.612,35.166,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,53.92,18.563,35.172,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,56,18.533,35.173,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,58.04,18.507,35.172,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
